epoch,train_loss,val_loss,train_acc,val_acc,val_f1,val_precision,val_recall
1,0.633236950685998,0.5383151631302586,75.44642857142857,80.1678108314264,0.7853964672433391,0.8225754785387399,0.7934277414669572
2,0.3165437140363772,2.04192120974767,88.37535014005601,41.87643020594965,0.3176699616785013,0.666358725863192,0.3693137254901961
3,0.21434022966741012,0.2864817981991531,92.62079831932773,89.39740655987795,0.887438948424705,0.901354057397207,0.8882734204793027
4,0.12790491068683543,0.17109771531853235,95.68452380952381,93.97406559877956,0.9354639927785685,0.9366802952907232,0.9349709513435005
5,0.11420335720556707,0.21483800083643007,95.91211484593838,92.90617848970251,0.9252772685454569,0.9330627782878735,0.9251742919389979
6,0.0604204662412885,0.13629977337777524,97.9954481792717,95.57589626239512,0.9526830187168001,0.9551591549942842,0.9526543209876543
7,0.06569495457400638,0.11905436215513363,97.6453081232493,96.186117467582,0.959381500900276,0.9591412551923749,0.9602868554829339
8,0.05119332492515231,0.0784198277936567,98.38935574229691,97.40655987795576,0.9718749400730193,0.9722193108490742,0.9718790849673202
9,0.045245967935007694,0.11596605352075663,98.50315126050421,95.95728451563691,0.9571865132215387,0.9602083710116298,0.9559803921568627
10,0.042601085351767015,0.10561719390090907,98.52065826330532,97.25400457665904,0.9704123876133928,0.9711084262573338,0.970326797385621
11,0.03544562896410348,0.05569660424846849,98.85329131652661,98.093058733791,0.9794054290949927,0.9795049910035734,0.9793954248366012
12,0.02416357713895302,0.09661135780795409,99.26470588235294,96.87261632341723,0.9666348279348915,0.9671688579398235,0.966510530137981
13,0.04062665382631518,0.17914635089716574,98.62570028011206,94.66056445461479,0.9426619771210507,0.9460759885342618,0.9432498184458968
14,0.027229444308536445,0.10128212075980583,99.10714285714286,97.02517162471396,0.9683830456488323,0.9705162895718701,0.9678104575163399
15,0.005727054989961607,0.06315165403234792,99.87745098039215,98.24561403508771,0.9810499432394786,0.9812680930800427,0.981062091503268
16,0.0034057023725892234,0.05770906240845428,99.94747899159664,98.32189168573609,0.9818792857072483,0.9820341134627608,0.9818790849673202
17,0.0023528227154535624,0.05862040689290308,99.9562324929972,98.24561403508771,0.9810428443459764,0.9812444566855153,0.981062091503268
18,0.0018859784976578923,0.05719523847823794,99.99124649859944,98.32189168573609,0.9818735673003094,0.9820437245857603,0.9818790849673202
19,0.002062145279083239,0.05824996043582626,99.94747899159664,98.24561403508771,0.9810550669138044,0.9811784524673668,0.9810294117647058
20,0.0020204735076474285,0.05640441293756494,99.96498599439776,98.32189168573609,0.9818867532890007,0.9820143495254325,0.9818464052287581
